Coord1,Coord2,Ind,Character,Kart,Wheel,Glider,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Weight,Acceleration,4714,Toadette,Biddybuggy,Roller,Peach Parasol,3.0,20.0,7.0,10.0,19.0,3.0,7.0,6.0,8.0,17.0,16.0,16.0,17.0
Weight,Acceleration,4383,Toadette,Pipe Frame,Roller,Peach Parasol,4.0,19.0,9.0,10.0,18.0,4.0,9.0,5.0,8.0,17.0,16.0,15.0,15.0
Weight,Acceleration,4395,Toadette,Biddybuggy,Roller,Wario Wing,4.0,19.0,7.0,10.0,18.0,4.0,7.0,6.0,9.0,17.0,16.0,16.0,16.0
Weight,Acceleration,4687,Cat Peach,Biddybuggy,Roller,Peach Parasol,4.0,19.0,5.0,11.0,18.0,5.0,9.0,8.0,10.0,16.0,15.0,15.0,16.0
Weight,Acceleration,4364,Toad,Biddybuggy,Roller,Peach Parasol,4.0,19.0,6.0,12.0,19.0,4.0,8.0,7.0,9.0,17.0,16.0,16.0,17.0
Weight,Acceleration,4277,Tanooki Mario,Biddybuggy,Roller,Peach Parasol,6.0,18.0,10.0,9.0,18.0,6.0,10.0,9.0,11.0,15.0,14.0,14.0,15.0
Weight,Acceleration,2943,Tanooki Mario,Biddybuggy,Roller,Wario Wing,7.0,17.0,10.0,9.0,17.0,7.0,10.0,9.0,12.0,15.0,14.0,14.0,14.0
Weight,Acceleration,2931,Tanooki Mario,Pipe Frame,Roller,Peach Parasol,7.0,17.0,12.0,9.0,17.0,7.0,12.0,8.0,11.0,15.0,14.0,13.0,13.0
Weight,Acceleration,2377,Luigi,Biddybuggy,Roller,Peach Parasol,7.0,17.0,8.0,9.0,18.0,7.0,11.0,10.0,12.0,15.0,14.0,14.0,15.0
Weight,Acceleration,2356,Mario,Biddybuggy,Roller,Peach Parasol,7.0,17.0,7.0,10.0,18.0,7.0,11.0,10.0,12.0,14.0,13.0,13.0,14.0
Weight,Acceleration,527,Metal Mario,Biddybuggy,Roller,Peach Parasol,11.0,16.0,11.0,9.0,16.0,8.0,12.0,11.0,13.0,13.0,12.0,12.0,13.0
Weight,Acceleration,1183,Metal Mario,Biddybuggy,Roller,Wario Wing,12.0,15.0,11.0,9.0,15.0,9.0,12.0,11.0,14.0,13.0,12.0,12.0,12.0
Weight,Acceleration,1171,Metal Mario,Pipe Frame,Roller,Peach Parasol,12.0,15.0,13.0,9.0,15.0,9.0,14.0,10.0,13.0,13.0,12.0,11.0,11.0
Weight,Acceleration,1774,Metal Mario,Biddybuggy,Standard,Peach Parasol,13.0,14.0,13.0,10.0,14.0,10.0,12.0,13.0,13.0,12.0,11.0,11.0,12.0
Weight,Acceleration,1761,Metal Mario,Cat Cruiser,Roller,Peach Parasol,13.0,14.0,14.0,8.0,15.0,10.0,13.0,12.0,16.0,12.0,10.0,10.0,13.0
Weight,Acceleration,1753,Metal Mario,Pipe Frame,Roller,Wario Wing,13.0,14.0,13.0,9.0,14.0,10.0,14.0,10.0,14.0,13.0,12.0,11.0,10.0
Weight,Acceleration,2272,Metal Mario,Cat Cruiser,Roller,Wario Wing,14.0,13.0,14.0,8.0,14.0,11.0,13.0,12.0,17.0,12.0,10.0,10.0,12.0
Weight,Acceleration,2258,Metal Mario,Pipe Frame,Standard,Peach Parasol,14.0,13.0,15.0,10.0,13.0,11.0,14.0,12.0,13.0,12.0,11.0,10.0,10.0
Weight,Acceleration,2291,Metal Mario,Biddybuggy,Standard,Wario Wing,14.0,13.0,13.0,10.0,13.0,11.0,12.0,13.0,14.0,12.0,11.0,11.0,11.0
Weight,Acceleration,2298,Metal Mario,Biddybuggy,Off-Road,Peach Parasol,14.0,13.0,14.0,11.0,12.0,11.0,13.0,13.0,11.0,10.0,9.0,10.0,11.0
Weight,Acceleration,3412,Metal Mario,Biddybuggy,Monster,Peach Parasol,15.0,12.0,14.0,12.0,13.0,10.0,11.0,13.0,11.0,9.0,9.0,8.0,10.0
