Coord1,Coord2,Coord3,Ind,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Weight,Acceleration,On-road Traction,1,3.0,20.0,7.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,0,4.0,19.0,9.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,30,6.0,18.0,10.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,29,7.0,17.0,12.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,12,9.0,16.0,13.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,3,10.0,15.0,15.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,26,11.0,16.0,11.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,7,11.0,14.0,16.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,2,12.0,13.0,17.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,16,12.0,15.0,13.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,4,13.0,12.0,18.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,22,13.0,14.0,14.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,9,13.0,10.0,20.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,15,14.0,13.0,15.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,11,14.0,11.0,19.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,8,14.0,9.0,20.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,17,15.0,12.0,16.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,10,15.0,8.0,20.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,6,15.0,10.0,19.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,14,16.0,5.0,20.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,24,16.0,11.0,17.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,5,16.0,9.0,19.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,21,17.0,10.0,17.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,23,17.0,8.0,18.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,13,17.0,6.0,19.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,28,18.0,5.0,18.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,20,18.0,9.0,17.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,18,19.0,7.0,15.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,27,19.0,6.0,17.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,19,20.0,5.0,14.0,,,,,,,,,,
Weight,Acceleration,On-road Traction,25,20.0,4.0,15.0,,,,,,,,,,
Weight,Acceleration,Off-road Traction,86,1.0,19.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,84,1.0,20.0,,13.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,85,2.0,20.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,87,2.0,17.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,32,2.0,19.0,,14.0,,,,,,,,,
