Coord1,Coord2,Coord3,Ind,Character,Kart,Wheel,Glider,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Weight,Acceleration,On-road Traction,268,Toadette,Biddybuggy,Roller,Peach Parasol,3.0,20.0,7.0,10.0,19.0,2.0,6.0,5.0,7.0,17.0,16.0,16.0,17.0
Weight,Acceleration,On-road Traction,265,Toadette,Pipe Frame,Roller,Peach Parasol,4.0,19.0,9.0,10.0,18.0,3.0,8.0,4.0,7.0,17.0,16.0,15.0,15.0
Weight,Acceleration,On-road Traction,558,Tanooki Mario,Biddybuggy,Roller,Peach Parasol,6.0,18.0,10.0,9.0,18.0,5.0,9.0,8.0,10.0,15.0,14.0,14.0,15.0
Weight,Acceleration,On-road Traction,262,Tanooki Mario,Pipe Frame,Roller,Peach Parasol,7.0,17.0,12.0,9.0,17.0,6.0,11.0,7.0,10.0,15.0,14.0,13.0,13.0
Weight,Acceleration,On-road Traction,531,Donkey Kong,Biddybuggy,Roller,Peach Parasol,9.0,16.0,13.0,8.0,16.0,9.0,13.0,12.0,14.0,12.0,11.0,11.0,12.0
Weight,Acceleration,On-road Traction,526,Donkey Kong,Pipe Frame,Roller,Peach Parasol,10.0,15.0,15.0,8.0,15.0,10.0,15.0,11.0,14.0,12.0,11.0,10.0,10.0
Weight,Acceleration,On-road Traction,509,Donkey Kong,Cat Cruiser,Roller,Peach Parasol,11.0,14.0,16.0,7.0,14.0,11.0,14.0,13.0,17.0,11.0,9.0,9.0,12.0
Weight,Acceleration,On-road Traction,557,Metal Mario,Biddybuggy,Roller,Peach Parasol,11.0,16.0,11.0,9.0,16.0,8.0,12.0,11.0,13.0,13.0,12.0,12.0,13.0
Weight,Acceleration,On-road Traction,552,Metal Mario,Pipe Frame,Roller,Peach Parasol,12.0,15.0,13.0,9.0,15.0,9.0,14.0,10.0,13.0,13.0,12.0,11.0,11.0
Weight,Acceleration,On-road Traction,487,Donkey Kong,Pipe Frame,Standard,Peach Parasol,12.0,13.0,17.0,9.0,12.0,12.0,15.0,13.0,14.0,11.0,10.0,9.0,9.0
Weight,Acceleration,On-road Traction,106,Donkey Kong,Cat Cruiser,Slim,Peach Parasol,13.0,10.0,20.0,4.0,10.0,14.0,13.0,17.0,16.0,11.0,9.0,8.0,12.0
Weight,Acceleration,On-road Traction,550,Metal Mario,Cat Cruiser,Roller,Peach Parasol,13.0,14.0,14.0,8.0,14.0,10.0,13.0,12.0,16.0,12.0,10.0,10.0,13.0
Weight,Acceleration,On-road Traction,397,Donkey Kong,Pipe Frame,Off-Road,Peach Parasol,13.0,12.0,18.0,10.0,10.0,13.0,16.0,13.0,12.0,9.0,8.0,8.0,8.0
Weight,Acceleration,On-road Traction,398,Donkey Kong,Cat Cruiser,Standard,Peach Parasol,13.0,12.0,18.0,8.0,11.0,13.0,14.0,15.0,17.0,10.0,8.0,8.0,11.0
Weight,Acceleration,On-road Traction,31,Donkey Kong,Cat Cruiser,Slick,Peach Parasol,14.0,9.0,20.0,3.0,8.0,15.0,11.0,17.0,14.0,9.0,5.0,7.0,9.0
Weight,Acceleration,On-road Traction,537,Metal Mario,Pipe Frame,Standard,Peach Parasol,14.0,13.0,15.0,10.0,12.0,11.0,14.0,12.0,13.0,12.0,11.0,10.0,10.0
Weight,Acceleration,On-road Traction,30,Donkey Kong,Cat Cruiser,Slim,Wario Wing,14.0,9.0,20.0,4.0,9.0,15.0,13.0,17.0,17.0,11.0,9.0,8.0,11.0
Weight,Acceleration,On-road Traction,363,Donkey Kong,Cat Cruiser,Off-Road,Peach Parasol,14.0,11.0,19.0,9.0,9.0,14.0,15.0,15.0,15.0,8.0,6.0,7.0,10.0
Weight,Acceleration,On-road Traction,309,Donkey Kong,Cat Cruiser,Off-Road,Wario Wing,15.0,10.0,19.0,9.0,8.0,15.0,15.0,15.0,16.0,8.0,6.0,7.0,9.0
Weight,Acceleration,On-road Traction,534,Metal Mario,Cat Cruiser,Standard,Peach Parasol,15.0,12.0,16.0,9.0,11.0,12.0,13.0,14.0,16.0,11.0,9.0,9.0,12.0
Weight,Acceleration,On-road Traction,175,Donkey Kong,Cat Cruiser,Slick,Wario Wing,15.0,8.0,20.0,3.0,7.0,16.0,11.0,17.0,15.0,9.0,5.0,7.0,8.0
