,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling,Character,Kart,Wheel,Glider
4830,0.0,19.0,5.0,14.0,20.0,1.0,6.0,4.0,6.0,20.0,18.0,20.0,20.0,Baby Peach,Biddybuggy,Roller,Cloud Glider
5275,0.0,15.0,7.0,10.0,16.0,6.0,6.0,8.0,7.0,15.0,15.0,19.0,14.0,Baby Rosalina,Blue Falcon,Button,Cloud Glider
4859,0.0,18.0,4.0,16.0,19.0,2.0,10.0,2.0,7.0,19.0,19.0,17.0,19.0,Baby Peach,Landship,Roller,Cloud Glider
5198,0.0,19.0,5.0,14.0,19.0,2.0,10.0,2.0,7.0,18.0,18.0,16.0,18.0,Baby Rosalina,Landship,Roller,Cloud Glider
5170,0.0,20.0,6.0,12.0,20.0,1.0,6.0,4.0,6.0,19.0,17.0,19.0,19.0,Baby Rosalina,Biddybuggy,Roller,Cloud Glider
5265,0.0,16.0,6.0,11.0,17.0,5.0,7.0,6.0,8.0,16.0,16.0,19.0,16.0,Baby Rosalina,Blue Falcon,Roller,Cloud Glider
4870,0.0,17.0,5.0,15.0,18.0,3.0,9.0,4.0,6.0,18.0,18.0,17.0,17.0,Baby Peach,Landship,Button,Cloud Glider
4839,0.0,18.0,6.0,13.0,19.0,2.0,5.0,6.0,5.0,19.0,17.0,20.0,18.0,Baby Peach,Biddybuggy,Button,Cloud Glider
5178,0.0,19.0,7.0,11.0,19.0,2.0,5.0,6.0,5.0,18.0,16.0,19.0,17.0,Baby Rosalina,Biddybuggy,Button,Cloud Glider
4939,0.0,15.0,5.0,13.0,17.0,5.0,7.0,6.0,8.0,17.0,17.0,20.0,17.0,Baby Peach,Blue Falcon,Roller,Cloud Glider
4953,0.0,14.0,6.0,12.0,16.0,6.0,6.0,8.0,7.0,16.0,16.0,20.0,15.0,Baby Peach,Blue Falcon,Button,Cloud Glider
4582,1.0,15.0,5.0,11.0,16.0,7.0,7.0,9.0,8.0,14.0,14.0,18.0,13.0,Baby Mario,Blue Falcon,Button,Cloud Glider
4802,1.0,14.0,5.0,12.0,17.0,5.0,8.0,5.0,8.0,18.0,17.0,17.0,19.0,Baby Peach,Prancer,Roller,Cloud Glider
4574,1.0,16.0,4.0,12.0,17.0,6.0,8.0,7.0,9.0,15.0,15.0,18.0,15.0,Baby Mario,Blue Falcon,Roller,Cloud Glider
4506,1.0,19.0,5.0,12.0,19.0,3.0,6.0,7.0,6.0,17.0,15.0,18.0,16.0,Baby Mario,Biddybuggy,Button,Cloud Glider
5274,1.0,14.0,7.0,10.0,15.0,7.0,6.0,7.0,8.0,15.0,15.0,19.0,13.0,Baby Rosalina,Blue Falcon,Button,Super Glider
4526,1.0,19.0,3.0,15.0,19.0,3.0,11.0,3.0,8.0,17.0,17.0,15.0,17.0,Baby Mario,Landship,Roller,Cloud Glider
4858,1.0,17.0,4.0,16.0,18.0,3.0,10.0,1.0,8.0,19.0,19.0,17.0,18.0,Baby Peach,Landship,Roller,Super Glider
4907,1.0,17.0,7.0,15.0,18.0,3.0,7.0,6.0,8.0,19.0,17.0,19.0,19.0,Baby Peach,Standard Bike,Roller,Cloud Glider
5239,1.0,18.0,8.0,13.0,18.0,3.0,7.0,6.0,8.0,18.0,16.0,18.0,18.0,Baby Rosalina,Standard Bike,Roller,Cloud Glider
