Names,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Standard Kart,2,4,3,3,5,3,3,3,3,3,2,3,3
Pipe Frame,1,6,3,4,6,1,3,1,1,5,4,4,2
Mach 8,3,3,2,4,5,3,3,5,4,2,2,4,2
Steel Driver,4,1,1,3,3,4,5,2,0,1,5,1,1
Cat Cruiser,2,5,4,3,6,2,2,3,4,4,2,3,4
Circuit Special,3,1,3,1,2,5,1,4,2,1,1,2,0
Tri-Speeder,4,1,1,3,3,4,5,2,0,1,5,1,1
Badwagon,4,0,2,5,1,5,2,3,1,0,1,1,0
Prancer,1,2,1,2,4,4,3,3,3,3,3,2,3
Biddybuggy,0,7,1,4,7,0,1,2,1,5,4,5,4
Landship,0,6,0,6,6,1,5,0,2,4,5,2,3
Sneeker,2,2,1,0,4,4,2,3,3,3,2,3,2
Sports Coupe,3,3,2,4,5,3,3,5,4,2,2,4,2
Gold Standard,2,2,1,0,4,4,2,3,3,3,2,3,2
Standard Bike,1,5,3,5,5,2,2,4,3,4,3,4,3
Comet,2,5,4,3,6,2,2,3,4,4,2,3,4
Sport Bike,1,2,1,2,4,4,3,3,3,3,3,2,3
The Duke,2,4,3,3,5,3,3,3,3,3,2,3,3
Flame Rider,1,5,3,5,5,2,2,4,3,4,3,4,3
Varmint,1,6,3,4,6,1,3,1,1,5,4,4,2
Mr Scooty,0,7,1,4,7,0,1,2,1,5,4,5,4
Jet Bike,1,2,1,2,4,4,3,3,3,3,3,2,3
Yoshi Bike,2,5,4,3,6,2,2,3,4,4,2,3,4
Standard ATV,4,0,2,5,1,5,2,3,1,0,1,1,0
Wild Wiggler,1,5,3,5,5,2,2,4,3,4,3,4,3
Teddy Buggy,2,5,4,3,6,2,2,3,4,4,2,3,4
GLA,4,0,2,5,1,5,2,3,1,0,1,1,0
W 25 Silver Arrow,1,5,3,5,5,2,2,4,3,4,3,4,3
300 SL Roadster,2,4,3,3,5,3,3,3,3,3,2,3,3
Blue Falcon,0,3,1,3,4,4,2,4,3,2,3,5,1
Tanooki Kart,3,2,4,7,4,2,4,3,3,4,4,3,3
B Dasher,3,1,3,1,2,5,1,4,2,1,1,2,0
Master Cycle,2,2,1,0,4,4,2,3,3,3,2,3,2
Streetle,0,6,0,6,6,1,5,0,2,4,5,2,3
P-Wing,3,1,3,1,2,5,1,4,2,1,1,2,0
City Tripper,1,6,3,4,6,1,3,1,1,5,4,4,2
Bone Rattler,4,1,1,3,3,4,5,2,0,1,5,1,1
Koopa Clown,3,2,4,7,4,2,4,3,3,4,4,3,3
Splat Buggy,0,3,1,3,4,4,2,4,3,2,3,5,1
Inkstriker,3,3,2,4,5,3,3,5,4,2,2,4,2
Master Cycle Zero,3,2,4,7,4,2,4,3,3,4,4,3,3
,,,,,,,,,,,,,
Mario,6,2,4,2,3,7,7,7,7,4,4,4,4
Luigi,6,2,5,1,3,7,7,7,7,5,5,5,5
Peach,4,3,3,3,4,6,6,6,6,5,5,5,5
Daisy,4,3,3,3,4,6,6,6,6,5,5,5,5
Yoshi,4,3,3,3,4,6,6,6,6,5,5,5,5
Toad,3,4,3,4,4,4,4,4,4,7,7,7,7
Toadette,2,5,4,2,4,3,3,3,3,7,7,7,7
Koopa Troopa,2,4,1,5,4,3,3,3,3,8,8,8,8
Bowser,10,0,6,0,0,10,10,10,10,0,0,0,0
Donkey Kong,8,1,10,0,1,9,9,9,9,2,2,2,2
Wario,9,0,5,1,0,10,10,10,10,1,1,1,1
Waluigi,8,1,10,0,1,9,9,9,9,2,2,2,2
Rosalina,7,1,9,3,2,8,8,8,8,3,3,3,3
Metal Mario,10,1,8,1,1,8,8,8,8,3,3,3,3
Pink Gold Peach,10,1,8,1,1,8,8,8,8,3,3,3,3
Lakitu,2,4,1,5,4,3,3,3,3,8,8,8,8
Shy Guy,3,4,3,4,4,4,4,4,4,7,7,7,7
Baby Mario,1,5,2,4,5,2,2,2,2,8,8,8,8
Baby Luigi,1,5,2,4,5,2,2,2,2,8,8,8,8
Baby Peach,0,4,3,5,5,1,1,1,1,10,10,10,10
Baby Daisy,0,4,3,5,5,1,1,1,1,10,10,10,10
Baby Rosalina,0,5,4,3,5,1,1,1,1,9,9,9,9
Larry,3,4,3,4,4,4,4,4,4,7,7,7,7
Lemmy,0,5,4,3,5,1,1,1,1,9,9,9,9
Wendy,2,5,4,2,4,3,3,3,3,7,7,7,7
Ludwig,6,2,4,2,3,7,7,7,7,4,4,4,4
Iggy,6,2,5,1,3,7,7,7,7,5,5,5,5
Roy,8,1,10,0,1,9,9,9,9,2,2,2,2
Morton,10,0,6,0,0,10,10,10,10,0,0,0,0
Mii (medium),6,2,4,2,3,7,7,7,7,4,4,4,4
Tanooki Mario,5,3,7,1,3,6,6,6,6,5,5,5,5
Link,7,1,9,3,2,8,8,8,8,3,3,3,3
Villager (male),5,3,7,1,3,6,6,6,6,5,5,5,5
Isabelle,2,5,4,2,4,3,3,3,3,7,7,7,7
Cat Peach,3,4,2,3,3,5,5,5,5,6,6,6,6
Dry Bowser,9,0,5,1,0,10,10,10,10,1,1,1,1
Villager (female),3,4,2,3,3,5,5,5,5,6,6,6,6
